Load environment configuration
mkdir: created directory '/appsmith-stacks/data/certificate'
mkdir: created directory '/appsmith-stacks/data/certificate/conf'
'/opt/appsmith/editor/index.html' -> '/opt/appsmith/index.html.original'
127.0.0.1 - - [12/Dec/2022:11:07:03 +0000] "GET / HTTP/1.1" 200 4652 "-" "curl/7.68.0"
172.18.0.1 - - [12/Dec/2022:11:07:15 +0000] "GET / HTTP/1.1" 200 2009 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:07:15 +0000] "GET /logger.js HTTP/1.1" 200 1028 "http://192.168.1.2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:07:15 +0000] "GET /static/css/main.918036b2.css HTTP/1.1" 200 84204 "http://192.168.1.2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:07:15 +0000] "GET /static/js/main.66b50216.js HTTP/1.1" 200 2944151 "http://192.168.1.2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:07:16 +0000] "GET /static/js/TernWorker.22149386.chunk.js HTTP/1.1" 200 1628 "http://192.168.1.2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:07:16 +0000] "GET /static/js/evalWorker.d2922bb4.chunk.js HTTP/1.1" 200 15963 "http://192.168.1.2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:07:16 +0000] "GET /static/js/lintWorker.e96f6eb3.chunk.js HTTP/1.1" 200 18495 "http://192.168.1.2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:07:16 +0000] "GET /static/js/394.4001c2d7.chunk.js HTTP/1.1" 200 61636 "http://192.168.1.2/static/js/TernWorker.22149386.chunk.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:07:16 +0000] "GET /static/js/64.52f8d693.chunk.js HTTP/1.1" 200 436666 "http://192.168.1.2/static/js/lintWorker.e96f6eb3.chunk.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:07:16 +0000] "POST /api/v1/usage-pulse HTTP/1.1" 401 0 "http://192.168.1.2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:07:16 +0000] "GET /api/v1/users/features HTTP/1.1" 200 82 "http://192.168.1.2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:07:16 +0000] "GET /static/js/881.f95ad104.chunk.js HTTP/1.1" 200 24185 "http://192.168.1.2/static/js/lintWorker.e96f6eb3.chunk.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:07:16 +0000] "GET /static/js/10.ae82023f.chunk.js HTTP/1.1" 200 24184 "http://192.168.1.2/static/js/evalWorker.d2922bb4.chunk.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
